,fecha,zona,cod,evento,tipoevento,unixtime,s_p,duracion,amplitudctas,frecuencia,energia,est,latitud,longitud,profundidad,magduracion,nfases,gap,distmedia,rms,erh,erz,calidad,nestaciones,ml,comp,idvolc,q,dr,tipoloc,idtipoevento,idevento,amplitud_ums,estacion,tiempo_origen,id_usuario,id_loc,ml_pre,software,etiqueta,distancia,direccion,idscnl,energia_full_waveform
1129,2022-01-06 20:08:32.000061,2,9,220106_200832_29VT,VT,1641499712.61,1.28,19.35,,8.8,,252,-36.840333,-71.329667,3.7,1.35,15.0,147.0,2.2,0.02,0.1,0.1,B1,9.0,1.3,,21,,2.07,1.0,21,2740,16.23,SHG,1641499710.88,30,374.0,1.5,apaweb,,5.2,ENE,229,
1130,2022-01-06 20:10:51.000021,2,9,220106_201051_29VT,VT,1641499851.21,1.23,33.87,,6.79,,252,-36.835667,-71.340167,3.58,1.58,14.0,154.0,2.0,0.05,0.3,0.3,B1,10.0,2.8,,21,,76.38,1.0,21,2741,461.19,SHG,1641499849.58,30,293.0,3.0,apaweb,,4.8,NNE,229,
1133,2022-01-06 20:32:32.000023,2,9,220106_203232_29VT,VT,1641501152.23,1.19,20.64,,6.22,,252,-36.838333,-71.3285,3.49,1.53,16.0,149.0,2.5,0.04,0.2,0.3,B1,10.0,1.6,,21,,2.39,1.0,21,2746,13.19,SHG,1641501150.57,30,395.0,1.5,apaweb,,5.4,ENE,229,
1137,2022-01-06 20:40:54.000079,2,9,220106_204054_29VT,VT,1641501654.79,1.29,32.78,,7.18,,252,-36.837167,-71.327667,3.08,1.45,16.0,150.0,2.6,0.06,0.3,0.5,B1,10.0,1.7,,21,,4.78,1.0,21,2751,30.46,SHG,1641501652.97,30,325.0,1.8,apaweb,,5.6,ENE,229,
1139,2022-01-06 20:52:50.000089,2,9,220106_205250_29VT,VT,1641502370.89,1.03,13.16,,6.99,,252,-36.872,-71.363667,2.5,1.14,11.0,129.0,0.4,0.07,0.3,0.6,B1,7.0,1.3,,21,,2.87,1.0,21,2754,17.8,SHG,1641502370.15,30,375.0,1.6,apaweb,,1.4,ESE,229,
1148,2022-01-06 21:57:33.000028,2,9,220106_215733_29VT,VT,1641506253.28,1.28,19.82,,8.71,,252,-36.840333,-71.3285,3.69,1.25,16.0,146.0,2.3,0.03,0.2,0.2,B1,10.0,1.2,,21,,1.43,1.0,21,2766,11.04,SHG,1641506251.57,30,396.0,1.4,apaweb,,5.3,ENE,229,
1151,2022-01-06 22:18:03.000028,2,9,220106_221803_29VT,VT,1641507483.28,0.89,21.41,,8.72,,252,-36.8385,-71.330667,3.64,1.25,17.0,149.0,2.3,0.03,0.1,0.1,B1,10.0,1.3,,21,,1.58,1.0,21,2788,12.26,SHG,1641507481.56,28,397.0,1.4,apaweb,,5.3,ENE,229,
1156,2022-01-06 22:27:09.000027,2,9,220106_222709_29VT,VT,1641508029.27,1.19,58.17,,5.6,,252,-36.836667,-71.328333,3.91,1.8,17.0,150.0,2.6,0.07,0.4,0.3,B1,10.0,1.9,,21,,7.28,1.0,21,2794,36.22,SHG,1641508027.55,28,329.0,1.9,apaweb,,5.6,ENE,229,
1157,2022-01-06 22:44:39.000061,2,9,220106_224439_29LP,LP,1641509079.61,0.0,118.44,,1.37,,252,-36.868167,-71.390833,2.01,3.11,10.0,143.0,0.1,0.42,2.0,2.3,C1,10.0,3.2,,21,,338.03,1.0,10,2769,411.42,SHG,1641509079.1,28,318.0,3.6,apaweb,,1.2,OSO,229,
1172,2022-01-06 23:15:21.000098,2,9,220106_231521_29VT,VT,1641510921.98,1.19,21.95,,6.68,,252,-36.837667,-71.311833,0.78,1.4,15.0,145.0,3.8,0.27,1.1,1.6,C1,10.0,1.7,,21,,4.51,1.0,21,2809,26.75,SHG,1641510920.57,28,331.0,1.7,apaweb,,6.7,ENE,229,
1180,2022-01-07 00:20:47.000008,2,9,220107_002047_29VT,VT,1641514847.08,1.11,23.31,,7.15,,252,-36.838667,-71.3255,3.34,1.4,16.0,147.0,2.7,0.07,0.3,0.5,B1,10.0,1.8,,21,,5.49,1.0,21,2820,34.92,SHG,1641514845.31,28,327.0,1.9,apaweb,,5.6,ENE,229,
1198,2022-01-07 03:12:00.000015,2,9,220107_031200_29VT,VT,1641525120.15,0.88,32.7,,5.62,,252,-36.839333,-71.326833,3.63,0.81,17.0,147.0,2.5,0.07,0.3,0.3,B1,10.0,1.6,,21,,2.42,1.0,21,2883,12.09,SHG,1641525118.49,28,398.0,1.4,apaweb,,5.5,ENE,229,
1199,2022-01-07 03:12:17.000069,2,9,220107_031217_29VT,VT,1641525137.69,0.0,20.2,,6.75,,252,-36.840833,-71.326,2.96,1.53,15.0,145.0,2.5,0.06,0.2,0.2,B1,10.0,1.4,,21,,3.05,1.0,21,2884,18.29,SHG,1641525135.89,28,376.0,1.4,apaweb,,5.5,ENE,229,
1203,2022-01-07 04:45:32.000019,2,9,220107_044532_29VT,VT,1641530732.19,0.76,41.6,,8.92,,252,-36.834667,-71.332333,3.09,1.58,16.0,153.0,2.5,0.04,0.1,0.4,B1,10.0,1.6,,21,,3.19,1.0,21,2836,25.24,SHG,1641530730.51,28,333.0,1.7,apaweb,,5.4,ENE,229,
1204,2022-01-07 04:57:10.000039,2,9,220107_045710_29VT,VT,1641531430.39,1.24,35.8,,4.31,,252,-36.836333,-71.334,3.32,1.93,16.0,152.0,2.3,0.06,0.2,0.4,B1,10.0,1.8,,21,,5.85,1.0,21,2837,22.38,SHG,1641531428.68,28,335.0,2.0,apaweb,,5.2,ENE,229,
1209,2022-01-07 05:17:05.000026,2,9,220107_051705_29VT,VT,1641532625.26,1.17,45.68,,5.71,,252,-36.838167,-71.332667,3.94,1.69,16.0,150.0,2.2,0.03,0.2,0.2,B1,9.0,2.0,,21,,9.63,1.0,21,2842,48.88,SHG,1641532623.54,28,330.0,2.1,apaweb,,5.2,ENE,229,
1225,2022-01-07 07:26:34.000031,2,9,220107_072634_29VT,VT,1641540394.31,1.22,65.84,,6.17,,252,-36.841,-71.3335,3.83,0.0,19.0,147.0,1.9,0.07,0.3,0.2,B1,10.0,2.6,,21,,53.37,1.0,21,2855,292.72,SHG,1641540392.62,28,332.0,2.9,apaweb,,4.9,ENE,229,
1228,2022-01-07 07:49:31.000010,2,9,220107_074931_29VT,VT,1641541771.1,1.16,29.91,,5.72,,252,-36.836833,-71.332,3.86,1.25,17.0,151.0,2.3,0.04,0.2,0.2,B1,10.0,1.8,,21,,5.6,1.0,21,2861,28.46,SHG,1641541769.37,28,354.0,1.9,apaweb,,5.3,ENE,229,
1231,2022-01-07 08:06:07.000065,2,9,220107_080607_29VT,VT,1641542767.65,0.74,32.37,,9.01,,252,-36.837167,-71.3295,3.61,1.62,14.0,150.0,2.5,0.04,0.3,0.2,B1,10.0,1.5,,21,,2.08,1.0,21,2868,16.62,SHG,1641542765.95,28,378.0,1.4,apaweb,,5.4,ENE,229,
1246,2022-01-07 09:20:24.000089,2,9,220107_092024_29VT,VT,1641547224.89,1.41,36.68,,4.79,,252,-36.898667,-71.338,4.33,1.58,13.0,157.0,0.8,0.07,0.4,0.4,B1,8.0,1.4,,21,,3.18,1.0,21,2928,13.54,SHG,1641547223.6,28,399.0,1.5,apaweb,,5.0,ESE,229,
1248,2022-01-07 09:31:32.000026,2,9,220107_093132_29VT,VT,1641547892.26,0.89,46.16,,5.83,,252,-36.839667,-71.330833,4.13,1.94,17.0,148.0,2.2,0.05,0.2,0.3,B1,10.0,2.3,,21,,25.32,1.0,21,2930,131.19,SHG,1641547890.48,28,355.0,2.6,apaweb,,5.2,ENE,229,
1255,2022-01-07 09:41:20.000005,2,9,220107_094120_29VT,VT,1641548480.05,1.16,53.62,,8.97,,252,-36.838833,-71.330333,3.52,1.58,16.0,148.0,2.3,0.05,0.2,0.4,B1,10.0,1.6,,21,,3.0,1.0,21,2937,23.95,SHG,1641548478.41,28,356.0,1.6,apaweb,,5.3,ENE,229,
1256,2022-01-07 09:51:53.000024,2,9,220107_095153_29VT,VT,1641549113.24,1.23,23.24,,8.73,,252,-36.838833,-71.328,3.62,1.45,15.0,148.0,2.5,0.03,0.2,0.2,B1,10.0,1.2,,21,,1.3,1.0,21,2938,10.05,SHG,1641549111.52,28,400.0,1.4,apaweb,,5.4,ENE,229,
1258,2022-01-07 09:58:03.000080,2,9,220107_095803_29VT,VT,1641549483.8,1.17,38.62,,8.99,,252,-36.8405,-71.332833,4.07,1.76,13.0,170.0,2.0,0.03,0.3,0.2,B1,8.0,1.7,,21,,3.03,1.0,21,2940,24.23,SHG,1641549482.12,28,357.0,1.6,apaweb,,5.0,ENE,229,
1268,2022-01-07 10:48:47.000041,2,9,220107_104847_29VT,VT,1641552527.41,1.21,29.15,,7.08,,252,-36.84,-71.3265,3.57,1.25,17.0,146.0,2.5,0.04,0.2,0.2,B1,10.0,1.5,,21,,2.67,1.0,21,2984,16.8,SHG,1641552525.69,30,379.0,1.6,apaweb,,5.5,ENE,229,
1301,2022-01-07 15:42:58.000068,2,9,220107_154258_29VT,VT,1641570178.68,1.2,24.07,,8.42,,252,-36.837667,-71.335,3.7,1.65,15.0,151.0,2.1,0.02,0.1,0.1,B1,10.0,1.5,,21,,1.74,1.0,21,3149,13.02,SHG,1641570176.99,30,401.0,1.5,apaweb,,5.0,ENE,229,
1306,2022-01-07 16:37:48.000026,2,9,220107_163748_29VT,VT,1641573468.26,1.19,28.53,,7.08,,252,-36.839333,-71.330833,3.84,1.45,16.0,148.0,2.2,0.02,0.1,0.1,B1,10.0,1.8,,21,,4.0,1.0,21,3152,25.15,SHG,1641573466.56,30,358.0,1.8,apaweb,,5.2,ENE,229,
1332,2022-01-07 20:09:05.000015,2,9,220107_200905_29VT,VT,1641586145.15,1.14,25.5,,7.08,,252,-36.838333,-71.329667,3.54,1.45,16.0,149.0,2.4,0.06,0.2,0.4,B1,10.0,1.5,,21,,2.54,1.0,21,3239,15.97,SHG,1641586143.44,30,409.0,1.6,apaweb,,5.4,ENE,229,
1333,2022-01-07 20:35:06.000097,2,9,220107_203506_29VT,VT,1641587706.97,1.19,25.72,,7.08,,252,-36.838667,-71.3325,3.74,1.65,16.0,149.0,2.2,0.05,0.3,0.2,B1,10.0,2.4,,21,,21.3,1.0,21,3246,134.03,SHG,1641587705.27,30,406.0,2.6,apaweb,,5.1,ENE,229,
1335,2022-01-07 20:40:59.000032,2,9,220107_204059_29VT,VT,1641588059.32,1.21,25.51,,9.0,,252,-36.837333,-71.333167,3.78,1.49,15.0,151.0,2.2,0.06,0.2,0.2,B1,10.0,1.5,,21,,2.22,1.0,21,3248,17.76,SHG,1641588057.64,30,407.0,1.6,apaweb,,5.2,ENE,229,
1337,2022-01-07 20:46:09.000044,2,9,220107_204609_29VT,VT,1641588369.44,1.18,25.12,,7.08,,252,-36.839833,-71.327333,3.56,1.35,17.0,147.0,2.5,0.05,0.2,0.2,B1,10.0,1.5,,21,,2.68,1.0,21,3250,16.85,SHG,1641588367.69,30,411.0,1.6,apaweb,,5.4,ENE,229,
1340,2022-01-07 20:55:33.000051,2,9,220107_205533_29VT,VT,1641588933.51,1.23,29.09,,6.17,,252,-36.835,-71.340667,2.98,1.53,17.0,155.0,2.0,0.05,0.1,0.1,B1,10.0,1.6,,21,,3.75,1.0,21,3257,20.56,SHG,1641588931.88,30,415.0,1.6,apaweb,,4.9,NNE,229,
1353,2022-01-07 22:49:18.000066,2,9,220107_224918_29VT,VT,1641595758.66,1.19,86.81,,9.06,,252,-36.837833,-71.331167,3.96,1.9,16.0,150.0,2.3,0.05,0.2,0.2,B1,10.0,1.6,,21,,2.64,1.0,21,3277,21.19,SHG,1641595756.92,28,436.0,1.7,apaweb,,5.3,ENE,229,
1356,2022-01-07 23:38:32.000034,2,9,220107_233832_29VT,VT,1641598712.34,1.19,20.61,,6.32,,252,-36.839667,-71.328667,4.01,1.25,16.0,147.0,2.4,0.05,0.2,0.3,B1,10.0,1.8,,21,,9.71,1.0,21,3280,54.49,SHG,1641598710.54,28,437.0,2.1,apaweb,,5.3,ENE,229,
1357,2022-01-07 23:38:40.000064,2,9,220107_233840_29VT,VT,1641598720.64,0.96,38.18,,6.32,,252,-36.841833,-71.322,3.08,0.64,7.0,163.0,2.8,0.03,0.3,0.4,B1,4.0,1.5,,21,,6.77,1.0,21,3281,38.02,SHG,1641598718.12,28,438.0,2.0,apaweb,,5.7,ENE,229,
1360,2022-01-07 23:40:36.000090,2,9,220107_234036_29VT,VT,1641598836.9,1.21,32.77,,7.08,,252,-36.839167,-71.327333,3.63,1.3,16.0,147.0,2.5,0.03,0.2,0.1,B1,10.0,1.4,,21,,2.4,1.0,21,3284,15.08,SHG,1641598835.17,28,459.0,1.6,apaweb,,5.5,ENE,229,
1386,2022-01-08 03:42:36.000076,2,9,220108_034236_29VT,VT,1641613356.76,1.35,42.3,,8.13,,252,-36.841333,-71.326167,4.13,0.0,13.0,145.0,2.5,0.08,0.4,0.6,B1,10.0,1.5,,21,,3.83,1.0,21,3324,27.68,SHG,1641613355.06,28,417.0,1.8,apaweb,,5.4,ENE,229,
1393,2022-01-08 04:43:02.000006,2,9,220108_044302_29VT,VT,1641616982.06,1.13,51.28,,5.69,,252,-36.8425,-71.326167,3.73,0.0,15.0,144.0,2.4,0.07,0.5,0.4,B1,9.0,1.4,,21,,3.54,1.0,21,3331,17.93,SHG,1641616980.24,28,418.0,1.5,apaweb,,5.4,ENE,229,
1394,2022-01-08 05:05:56.000013,2,9,220108_050556_29VT,VT,1641618356.13,1.26,50.64,,7.11,,252,-36.840667,-71.335167,3.96,1.58,16.0,147.0,1.8,0.09,0.4,0.3,B1,10.0,1.2,,21,,2.19,1.0,21,3332,13.82,SHG,1641618354.35,28,2368.0,1.5,apaweb,,4.8,ENE,229,
1401,2022-01-08 05:23:51.000028,2,9,220108_052351_29VT,VT,1641619431.28,1.19,35.1,,7.08,,252,-36.838667,-71.326333,3.54,1.45,17.0,148.0,2.6,0.04,0.2,0.3,B1,10.0,1.5,,21,,2.67,1.0,21,3339,16.83,SHG,1641619429.58,28,460.0,1.6,apaweb,,5.6,ENE,229,
1414,2022-01-08 07:43:14.000077,2,9,220108_074314_29VT,VT,1641627794.77,0.89,35.72,,6.56,,252,-36.838,-71.332,3.61,1.62,15.0,150.0,2.2,0.03,0.1,0.2,B1,10.0,1.8,,21,,3.08,1.0,21,3352,17.92,SHG,1641627793.08,28,461.0,1.6,apaweb,,5.2,ENE,229,
1418,2022-01-08 08:44:14.000046,2,9,220108_084414_29VT,VT,1641631454.46,1.11,37.18,,6.05,,252,-36.8365,-71.338833,3.16,1.93,17.0,152.0,2.0,0.07,0.2,0.4,B1,10.0,1.3,,21,,2.76,1.0,21,3359,14.82,SHG,1641631452.73,28,2369.0,1.6,apaweb,,4.9,NE,229,
1442,2022-01-08 13:11:45.000013,2,9,220108_131145_29VT,VT,1641647505.13,1.22,44.05,,4.31,,252,-36.832833,-71.335833,2.72,1.9,15.0,156.0,2.5,0.04,0.2,0.2,B1,10.0,2.3,,21,,21.23,1.0,21,3578,81.26,SHG,1641647503.44,30,425.0,2.5,apaweb,,5.3,NNE,229,
1461,2022-01-08 16:22:38.000043,2,9,220108_162238_29VT,VT,1641658958.43,1.33,33.7,,5.46,,252,-36.840667,-71.329667,3.11,1.53,16.0,146.0,2.2,0.06,0.2,0.4,B1,10.0,1.9,,21,,10.83,1.0,21,3693,52.49,SHG,1641658956.86,30,445.0,2.1,apaweb,,5.2,ENE,229,
1476,2022-01-08 18:46:38.000025,2,9,220108_184638_29VT,VT,1641667598.25,1.26,23.71,,6.22,,252,-36.838167,-71.338333,3.19,1.45,15.0,151.0,1.8,0.04,0.1,0.2,B1,10.0,1.5,,21,,2.97,1.0,21,3722,16.4,SHG,1641667596.71,30,462.0,1.6,apaweb,,4.8,ENE,229,
1486,2022-01-08 19:38:56.000080,2,9,220108_193856_29VT,VT,1641670736.8,1.06,22.58,,9.0,,252,-36.839667,-71.3295,3.59,1.58,13.0,147.0,2.3,0.05,0.3,0.2,B1,8.0,1.6,,21,,3.53,1.0,21,3746,28.19,SHG,1641670734.93,30,606.0,1.8,apaweb,,5.3,ENE,229,
1503,2022-01-08 22:12:14.000013,2,9,220108_221214_29VT,VT,1641679934.13,1.22,26.56,,6.13,,252,-36.837,-71.336,2.97,1.73,16.0,151.0,2.1,0.07,0.2,0.2,B1,9.0,1.6,,21,,4.5,1.0,21,3769,24.51,SHG,1641679932.51,30,607.0,1.7,apaweb,,5.0,ENE,229,
1518,2022-01-09 00:27:07.000075,2,9,220109_002707_29VT,VT,1641688027.75,1.25,33.53,,5.44,,252,-36.837,-71.337167,3.89,1.8,15.0,152.0,2.0,0.05,0.4,0.3,B1,10.0,1.7,,21,,6.2,1.0,21,3789,30.05,SHG,1641688026.1,30,486.0,1.8,apaweb,,4.9,ENE,229,
1522,2022-01-09 01:03:49.000011,2,9,220109_010349_29VT,VT,1641690229.11,1.12,27.75,,5.46,,252,-36.836167,-71.3365,3.56,1.77,12.0,152.0,2.1,0.06,0.4,0.5,B1,7.0,1.1,,21,,1.16,1.0,21,3793,5.62,SHG,1641690227.38,30,487.0,1.1,apaweb,,5.0,ENE,229,
1523,2022-01-09 01:08:45.000077,2,9,220109_010845_29VT,VT,1641690525.77,1.31,33.88,,6.15,,252,-36.836167,-71.337333,3.43,1.86,16.0,153.0,2.1,0.04,0.2,0.3,B1,10.0,1.8,,21,,8.98,1.0,21,3794,49.05,SHG,1641690524.11,30,488.0,2.0,apaweb,,5.0,ENE,229,
1524,2022-01-09 01:17:35.000045,2,9,220109_011735_29VT,VT,1641691055.45,1.25,30.8,,6.96,,252,-36.833333,-71.339333,3.23,1.49,17.0,156.0,2.3,0.07,0.2,0.5,B1,10.0,3.0,,21,,132.86,1.0,21,3774,821.96,SHG,1641691053.75,30,467.0,3.2,apaweb,,5.1,NNE,229,
1525,2022-01-09 01:18:05.000062,2,9,220109_011805_29VT,VT,1641691085.62,1.17,19.63,,7.03,,252,-36.838,-71.331,3.1,1.63,17.0,150.0,2.3,0.08,0.3,0.6,B1,10.0,2.4,,21,,28.74,1.0,21,3795,179.64,SHG,1641691083.93,30,489.0,2.6,apaweb,,5.3,ENE,229,
1526,2022-01-09 01:18:48.000087,2,9,220109_011848_29VT,VT,1641691128.87,1.19,26.72,,6.09,,252,-36.837333,-71.336833,3.3,1.75,17.0,151.0,2.0,0.12,0.4,0.7,B1,10.0,2.4,,21,,32.28,1.0,21,3796,174.63,SHG,1641691127.27,30,490.0,2.6,apaweb,,4.9,ENE,229,
1528,2022-01-09 01:21:40.000065,2,9,220109_012140_29VT,VT,1641691300.65,1.15,27.78,,6.13,,252,-36.838333,-71.337167,3.38,1.69,15.0,150.0,1.9,0.03,0.1,0.2,B1,9.0,1.9,,21,,5.71,1.0,21,3798,31.1,SHG,1641691299.03,30,549.0,1.8,apaweb,,4.8,ENE,229,
1541,2022-01-09 02:19:22.000038,2,9,220109_021922_29VT,VT,1641694762.38,1.22,23.68,,6.15,,252,-36.835833,-71.339167,3.26,1.4,12.0,182.0,2.0,0.02,0.2,0.2,C1,8.0,1.8,,21,,6.65,1.0,21,3813,36.33,SHG,1641694760.67,30,552.0,1.8,apaweb,,4.9,NNE,229,
1553,2022-01-09 03:28:34.000076,2,9,220109_032834_29VT,VT,1641698914.76,1.14,43.28,,5.44,,252,-36.8365,-71.335833,3.42,2.02,15.0,178.0,2.1,0.09,0.5,0.6,B1,9.0,2.5,,21,,45.36,1.0,21,3842,219.4,SHG,1641698913.1,30,544.0,2.7,apaweb,,5.1,ENE,229,
1570,2022-01-09 05:25:01.000020,2,9,220109_052501_29VT,VT,1641705901.2,1.32,36.98,,5.46,,252,-36.8365,-71.3415,3.97,1.64,15.0,153.0,1.9,0.1,0.5,0.4,B1,9.0,1.9,,21,,8.88,1.0,21,3865,43.07,SHG,1641705899.51,30,553.0,2.0,apaweb,,4.7,NNE,229,
1577,2022-01-09 06:03:36.000054,2,9,220109_060336_29VT,VT,1641708216.54,1.16,37.05,,7.03,,252,-36.835167,-71.341167,3.22,1.8,9.0,154.0,2.0,0.06,0.2,0.4,B1,10.0,2.4,,21,,37.88,1.0,21,3831,236.76,SHG,1641708214.93,30,468.0,2.7,apaweb,,4.8,NNE,229,
1583,2022-01-09 06:38:09.000054,2,9,220109_063809_29VT,VT,1641710289.54,1.22,40.68,,7.04,,252,-36.834667,-71.341333,3.22,2.02,17.0,155.0,2.0,0.04,0.1,0.2,B1,10.0,2.4,,21,,41.99,1.0,21,3844,262.68,SHG,1641710287.9,30,547.0,2.7,apaweb,,4.9,NNE,229,
1584,2022-01-09 06:38:09.000055,2,9,220109_063809_29VT,VT,1641710289.55,1.22,27.9,,7.06,,252,-36.835333,-71.342333,3.7,1.53,10.0,154.0,1.9,0.07,0.5,0.5,B1,10.0,2.4,,21,,41.88,1.0,21,3832,262.68,SHG,1641710287.88,30,469.0,2.7,apaweb,,4.7,NNE,229,
1600,2022-01-09 09:28:21.000013,2,9,220109_092821_29VT,VT,1641720501.13,1.09,17.3,,5.46,,252,-36.831333,-71.340333,2.61,0.95,10.0,190.0,2.4,0.05,0.5,0.7,C1,6.0,1.5,,21,,3.52,1.0,21,3933,17.05,SHG,1641720499.1,29,631.0,1.6,apaweb,,5.2,NNE,229,
1619,2022-01-09 12:18:23.000057,2,9,220109_121823_29VT,VT,1641730703.57,1.26,30.52,,6.94,,252,-36.837667,-71.339167,3.48,1.82,17.0,151.0,1.8,0.05,0.2,0.3,B1,10.0,3.5,,21,,205.13,1.0,21,3952,1264.72,SHG,1641730701.87,29,482.0,3.5,apaweb,,4.8,ENE,229,
1620,2022-01-09 12:21:36.000097,2,9,220109_122136_29VT,VT,1641730896.97,1.21,24.84,,6.99,,252,-36.835333,-71.338833,2.94,1.14,16.0,182.0,2.1,0.07,0.3,0.3,C1,9.0,2.0,,21,,13.01,1.0,21,3953,80.75,SHG,1641730895.3,29,548.0,2.2,apaweb,,5.0,NNE,229,
1621,2022-01-09 12:21:49.000063,2,9,220109_122149_29VT,VT,1641730909.63,0.94,15.59,,6.75,,252,-36.820833,-71.342167,0.56,1.35,12.0,207.0,3.5,0.18,1.0,1.5,C1,8.0,1.7,,21,,4.82,1.0,21,3954,28.91,SHG,1641730907.66,29,688.0,1.8,apaweb,,6.0,NNE,229,
1623,2022-01-09 12:24:18.000096,2,9,220109_122418_29VT,VT,1641731058.96,1.18,19.85,,7.01,,252,-36.832667,-71.343833,2.97,1.6,14.0,191.0,2.2,0.04,0.3,0.2,C1,9.0,3.0,,21,,104.57,1.0,21,3956,651.38,SHG,1641731057.31,29,483.0,3.1,apaweb,,4.9,NNE,229,
1629,2022-01-09 12:41:30.000056,2,9,220109_124130_29VT,VT,1641732090.56,1.14,27.76,,6.79,,252,-36.833833,-71.337667,3.04,1.49,13.0,184.0,2.3,0.05,0.3,0.3,C1,8.0,1.4,,21,,2.74,1.0,21,3963,16.53,SHG,1641732088.74,29,632.0,1.4,apaweb,,5.1,NNE,229,
1640,2022-01-09 13:39:39.000097,2,9,220109_133939_29VT,VT,1641735579.97,1.47,32.38,,6.04,,252,-36.8335,-71.342667,3.04,1.96,15.0,188.0,2.1,0.04,0.2,0.2,C1,9.0,1.5,,21,,2.66,1.0,21,3975,14.28,SHG,1641735578.46,29,485.0,1.5,apaweb,,4.9,NNE,229,
1641,2022-01-09 13:42:14.000094,2,9,220109_134214_29VT,VT,1641735734.94,1.37,31.58,,5.46,,252,-36.838167,-71.3385,3.78,1.73,14.0,177.0,1.8,0.1,0.8,0.7,B1,8.0,1.8,,21,,6.11,1.0,21,3976,29.6,SHG,1641735733.31,29,484.0,1.9,apaweb,,4.8,ENE,229,
1644,2022-01-09 14:03:41.000024,2,9,220109_140341_29VT,VT,1641737021.24,0.99,33.91,,6.05,,252,-36.835333,-71.339167,2.96,1.8,17.0,154.0,2.1,0.08,0.3,0.3,B1,10.0,1.7,,21,,6.16,1.0,21,4042,33.15,SHG,1641737019.54,29,554.0,1.8,apaweb,,4.9,NNE,229,
1646,2022-01-09 14:16:44.000088,2,9,220109_141644_29VT,VT,1641737804.88,1.13,24.12,,6.16,,252,-36.835,-71.34,3.66,1.71,17.0,154.0,2.1,0.07,0.3,0.5,B1,10.0,1.8,,21,,6.84,1.0,21,4046,37.45,SHG,1641737803.18,29,491.0,1.9,apaweb,,4.9,NNE,229,
1647,2022-01-09 14:30:04.000060,2,9,220109_143004_29HB,HB,1641738604.6,0.0,46.88,,1.38,,252,-36.834,-71.333,2.52,1.91,16.0,154.0,2.5,0.1,0.5,0.5,B1,10.0,4.1,,21,,2272.15,1.0,7,4151,2777.58,SHG,1641738603.29,29,766.0,4.1,apaweb,,5.4,ENE,229,
1650,2022-01-09 14:33:12.000068,2,9,220109_143312_29VT,VT,1641738792.68,0.79,16.56,,5.46,,252,-36.837833,-71.329833,3.27,1.3,11.0,173.0,2.4,0.05,0.3,0.4,B1,6.0,1.8,,21,,5.17,1.0,21,4052,25.04,SHG,1641738790.54,29,608.0,1.8,apaweb,,5.4,ENE,229,
1651,2022-01-09 14:33:53.000031,2,9,220109_143353_29VT,VT,1641738833.31,0.88,19.24,,5.43,,252,-36.8385,-71.3395,3.97,1.62,14.0,177.0,1.7,0.07,0.4,0.3,B1,9.0,2.2,,21,,9.28,1.0,21,4053,44.8,SHG,1641738831.68,29,556.0,2.1,apaweb,,4.7,ENE,229,
1655,2022-01-09 14:43:41.000053,2,9,220109_144341_29VT,VT,1641739421.53,1.16,19.07,,5.46,,252,-36.837833,-71.327333,2.42,1.45,16.0,149.0,2.6,0.12,0.5,0.6,B1,9.0,1.8,,21,,5.31,1.0,21,4059,25.75,SHG,1641739419.98,29,609.0,1.8,apaweb,,5.6,ENE,229,
1658,2022-01-09 14:47:39.000031,2,9,220109_144739_29VT,VT,1641739659.31,1.17,18.87,,5.41,,252,-36.8395,-71.332,3.44,1.49,13.0,171.0,2.1,0.05,0.3,0.3,B1,8.0,1.8,,21,,5.43,1.0,21,4062,26.11,SHG,1641739657.61,29,610.0,1.8,apaweb,,5.1,ENE,229,
1659,2022-01-09 14:48:18.000086,2,9,220109_144818_29VT,VT,1641739698.86,1.61,26.45,,7.54,,252,-36.833833,-71.3335,3.22,1.45,14.0,155.0,2.5,0.03,0.1,0.2,B1,9.0,1.8,,21,,6.47,1.0,21,4063,43.3,SHG,1641739697.35,29,559.0,2.1,apaweb,,5.4,ENE,229,
1661,2022-01-09 14:50:45.000081,2,9,220109_145045_29VT,VT,1641739845.81,1.03,27.82,,5.41,,252,-36.8365,-71.336,3.32,1.69,14.0,179.0,2.1,0.05,0.2,0.3,B1,9.0,1.9,,21,,9.91,1.0,21,4065,47.6,SHG,1641739844.09,29,522.0,2.1,apaweb,,5.0,ENE,229,
1662,2022-01-09 14:52:39.000026,2,9,220109_145239_29VT,VT,1641739959.26,1.18,29.52,,5.38,,252,-36.835333,-71.3335,3.21,1.85,15.0,153.0,2.4,0.05,0.2,0.4,B1,10.0,2.6,,21,,34.91,1.0,21,4066,166.98,SHG,1641739957.56,29,493.0,2.7,apaweb,,5.3,ENE,229,
1666,2022-01-09 15:03:37.000036,2,9,220109_150337_29VT,VT,1641740617.36,1.3,27.01,,6.99,,252,-36.833333,-71.3445,3.22,0.0,14.0,157.0,2.1,0.03,0.1,0.2,B1,9.0,2.2,,21,,22.06,1.0,21,4070,136.93,SHG,1641740615.74,29,521.0,2.5,apaweb,,4.8,NNE,229,
